Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Sihem Amer-Yahia,Global,Algeria,1970s,1972,,Algerian computer scientist,computer scientist; researcher,,Algiers,,https://en.wikipedia.org/wiki/Sihem_Amer-Yahia,Médio
Nazanin Daneshvar,Global,Iran,1980s,1983,,Iranian Internet entrepreneur,computer scientist; entrepreneur,,Tehran,,https://en.wikipedia.org/wiki/Nazanin_Daneshvar,Médio
Amina Doumane,Global,Morocco,1990s,1990,,Moroccan computer scientist,computer scientist; mathematician,,Morocco,,https://en.wikipedia.org/wiki/Amina_Doumane,Médio
Latafat Gardashova,Global,Azerbaijan,1960s,1966,,Azerbaijani computer scientist,mathematician,,Zagatala,,https://en.wikipedia.org/wiki/Latafat_Gardashova,Médio
Catherine Kiguru,Global,Kenya,1980s,1987,,"Kenyan computer scientist, entrepreneur and corporate executive",business executive,,Kenya,,https://en.wikipedia.org/wiki/Catherine_Kiguru,Médio
María Cecilia Rivara,Global,Chile,1900s,1901,,Chilean computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/María_Cecilia_Rivara,Médio
Kateryna Yushchenko (scientist),Global,Ukraine,1910s,1919,,Ukrainian Soviet and Ukrainian computer scientist,computer scientist; programmer; scientist,,Chyhyryn,,https://en.wikipedia.org/wiki/Kateryna_Yushchenko_(scientist),Médio
Mona Demaidi,Global,State of Palestine,1980s,1988,,"Mona Nabil Demaidi (Arabic: منى نبيل ضميدي) is an entrepreneur and women's rights advocate. She was born on December 14, 1988 in Nablus, Palestine. She obtained her Ph.D. in Advanc...",university teacher,,Nablus,,https://en.wikipedia.org/wiki/Mona_Demaidi,Médio
María Dolores Gómez Castro,Global,Spain,1980s,1983,,Spanish film makeup artist,make-up artist,,Córdoba,,https://en.wikipedia.org/wiki/María_Dolores_Gómez_Castro,Médio
Irene Greif,Global,United States,1940s,1940,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Irene_Greif,Médio
Sarah Jamie Lewis,Global,United States,1900s,1901,,Privacy and anonymity researcher; technologist,academic; technologist,,,,https://en.wikipedia.org/wiki/Sarah_Jamie_Lewis,Médio
Margot Comstock,Global,United States,1940s,1940,,American computer magazine editor,journalist,,Paterson,,https://en.wikipedia.org/wiki/Margot_Comstock,Médio
Anne Ogborn,Global,United States,1950s,1959,,American transgender rights activist,LGBTQ rights activist; programmer,,Salina,,https://en.wikipedia.org/wiki/Anne_Ogborn,Médio
Amy D. Wohl,Global,United States,1940s,1942,,"Amy D. Wohl is an information systems consultant. Her work focuses on software as a service (SaaS), IT strategy, and human computer interaction (HCI)....",computer scientist,,,,https://en.wikipedia.org/wiki/Amy_D._Wohl,Médio
Kateryna Yushchenko (scientist),Global,Ukraine,1910s,1919,,Ukrainian Soviet and Ukrainian computer scientist,computer scientist; programmer; scientist,,Chyhyryn,,https://en.wikipedia.org/wiki/Kateryna_Yushchenko_(scientist),Médio
Nancy Hafkin,África,South Africa,1940s,1942,,Computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Nancy_Hafkin,Médio
Cassie Kozyrkov,África,South Africa,1980s,1980,,South African data scientist,computer scientist; data scientist; statistician,,Saint Petersburg,,https://en.wikipedia.org/wiki/Cassie_Kozyrkov,Médio
Wanda Orlikowski,África,South Africa,1950s,1950,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Wanda_Orlikowski,Médio
Rana el Kaliouby,África,Egypt,1970s,1978,,Egyptian-American computer scientist and entrepreneur,computer scientist,,Cairo,,https://en.wikipedia.org/wiki/Rana_el_Kaliouby,Médio
Jamila Abbas,África,Kenya,1980s,1984,,Computer scientist,businessperson; computer scientist; founder,,Kenya,,https://en.wikipedia.org/wiki/Jamila_Abbas,Médio
Shikoh Gitau,África,Kenya,1980s,1985,,Kenyan computer scientist and technology innovator,computer scientist,,Mathare,,https://en.wikipedia.org/wiki/Shikoh_Gitau,Médio
Dorcas Muthoni,África,Kenya,1970s,1979,,Kenyan computer engineer and businesswoman,businessperson; computer scientist; engineer,,Nyeri,,https://en.wikipedia.org/wiki/Dorcas_Muthoni,Médio
Juliana Rotich,África,Kenya,1970s,1977,,Kenyan informatician,social entrepreneur,,Kenya,,https://en.wikipedia.org/wiki/Juliana_Rotich,Médio
Francisca Oladipo,África,,1970s,1978,,Nigerian computer scientist,computer scientist; programmer,,Idanre,,https://en.wikipedia.org/wiki/Francisca_Oladipo,Médio
Farida Bedwei,África,Ghana,1970s,1979,,Ghanaian software engineer,computer scientist; software engineer,,Lagos,,https://en.wikipedia.org/wiki/Farida_Bedwei,Médio
Regina Honu,África,Ghana,1980s,1983,,Ghanaian software developer,computer scientist,,Accra,,https://en.wikipedia.org/wiki/Regina_Honu,Médio
Rediet Abebe,África,Ethiopia,1990s,1991,,Ethiopian computer scientist (born 1991),academic; computer scientist; researcher,,Addis Ababa,,https://en.wikipedia.org/wiki/Rediet_Abebe,Médio
Betelhem Dessie,África,Ethiopia,1990s,1999,,Ethiopian web and mobile technologies developer,computer scientist,,Harar,,https://en.wikipedia.org/wiki/Betelhem_Dessie,Médio
Samrawit Fikru,África,Ethiopia,1990s,1990,,Ethiopian entrepreneur and businesswoman,computer scientist; entrepreneur; software developer,,Asella,,https://en.wikipedia.org/wiki/Samrawit_Fikru,Médio
Timnit Gebru,África,United States,1980s,1983,,Computer scientist,AI ethicist; artificial intelligence researcher; researcher,,Addis Ababa,,https://en.wikipedia.org/wiki/Timnit_Gebru,Médio
Sophia Ananiadou,Europa,Greece,1950s,1958,,Greek computational linguist,computer scientist; linguist,,,,https://en.wikipedia.org/wiki/Sophia_Ananiadou,Médio
Terri Attwood,Europa,United Kingdom,1950s,1959,,British bioinformatics researcher,bioinformatician; computer scientist,,,,https://en.wikipedia.org/wiki/Terri_Attwood,Médio
Joyce Aylard,Europa,United Kingdom,1920s,1925,,British codebreaker at Eastcote (1925–2022),computer scientist; teacher,,,,https://en.wikipedia.org/wiki/Joyce_Aylard,Médio
Jean Bacon,Europa,United Kingdom,1940s,1942,,British computer scientist,computer scientist,,Sheffield,,https://en.wikipedia.org/wiki/Jean_Bacon,Médio
Liz Bacon,Europa,,1960s,1963,,Professor of computer science,computer scientist,,,,https://en.wikipedia.org/wiki/Liz_Bacon,Médio
Audrey Bates (programmer),Europa,,1920s,1928,,British-American computer programmer (1928–2014),computer scientist,,Walsall,,https://en.wikipedia.org/wiki/Audrey_Bates_(programmer),Médio
Sue Black (computer scientist),Europa,United Kingdom,1960s,1962,,British computer scientist,blogger; computer scientist; engineer,,Fareham,,https://en.wikipedia.org/wiki/Sue_Black_(computer_scientist),Médio
Kathleen Booth,Europa,United Kingdom,1920s,1922,,British computer scientist (1922–2022),computer scientist; engineer; mathematician; university teacher,,Stourbridge,,https://en.wikipedia.org/wiki/Kathleen_Booth,Médio
Joanna Bryson,Europa,United States,1960s,1965,,Researcher and Professor of Ethics and Technology,roboticist; university teacher,,Milwaukee,,https://en.wikipedia.org/wiki/Joanna_Bryson,Médio
Muffy Calder,Europa,United Kingdom,1950s,1958,,Computer Scientist,computer scientist,,Shawinigan,,https://en.wikipedia.org/wiki/Muffy_Calder,Médio
Rosemary Candlin,Europa,,1920s,1927,,Scottish computer scientist (1927–2025),computer scientist,,,,https://en.wikipedia.org/wiki/Rosemary_Candlin,Médio
Mandy Chessell,Europa,United Kingdom,1960s,1965,,British computer scientist,computer scientist; inventor,,Bath,,https://en.wikipedia.org/wiki/Mandy_Chessell,Médio
Mary Coombs,Europa,United Kingdom,1920s,1929,,British computer programmer (1929–2022),programmer,,Muswell Hill,,https://en.wikipedia.org/wiki/Mary_Coombs,Médio
